Revenue	MarketCap	Exchange
9111000.0	22055399.0	New York Stock Exchange (NYSE)
1798000.0	537885.0	New York Stock Exchange (NYSE)
21036.0	38556.0	NASDAQ National Market
3050945.0	4958829.0	New York Stock Exchange (NYSE)
18045000.0	9957813.0	New York Stock Exchange (NYSE)
315249.0	138994.0	NASDAQ National Market
579643.0	304022.0	NASDAQ National Market
6548400.0	27843335.0	New York Stock Exchange (NYSE)
1286350.0	249823.0	NASDAQ National Market
2525532.0	1789523.0	New York Stock Exchange (NYSE)
30589.0	56508.0	NASDAQ National Market
125650.0	407249.0	NASDAQ National Market
36729.0	20280.0	NYSE MKT
894492.0	2043213.0	NASDAQ National Market
123624.0	68369.0	NASDAQ National Market
369478.0	101445.0	NASDAQ National Market
692279.0	743058.0	NASDAQ National Market
2824.0	26080.0	NASDAQ National Market
4667624.0	18979713.0	New York Stock Exchange (NYSE)
126740.0	32050.0	NASDAQ National Market
719168.0	1096461.0	NASDAQ National Market
2739600.0	19565378.0	NASDAQ National Market
1615900.0	503215.0	NASDAQ National Market
366602.0	5012793.0	New York Stock Exchange (NYSE)
135169.0	179388.0	New York Stock Exchange (NYSE)
350000.0	1815195.0	New York Stock Exchange (NYSE)
17505.0	10999.0	NYSE MKT
71008.0	151135.0	NASDAQ National Market
7270965.0	3842190.0	New York Stock Exchange (NYSE)
371089.0	1260330.0	NASDAQ National Market
859004.0	439964.0	NASDAQ National Market
7230.0	102187.0	NYSE MKT
76427.0	66070.0	NASDAQ National Market
7493000.0	10921909.0	New York Stock Exchange (NYSE)
229003.0	70845.0	New York Stock Exchange (NYSE)
1040873.0	931765.0	NASDAQ National Market
240321.0	995953.0	NYSE MKT
800414.0	976863.0	New York Stock Exchange (NYSE)
110245.0	94570.0	NASDAQ National Market
92782.0	798465.0	NASDAQ National Market
4452100.0	5230901.0	New York Stock Exchange (NYSE)
273300.0	1562444.0	NASDAQ National Market
1600.0	5926.0	NASDAQ National Market
46156.0	9661.0	NYSE MKT
1434700.0	348979.0	NASDAQ National Market
22542.0	32963.0	NASDAQ National Market
189628.0	351924.0	NASDAQ National Market
219982.0	76142.0	NASDAQ National Market
338779.0	171001.0	NASDAQ National Market
43259.0	53781.0	NASDAQ National Market
250.0	145676.0	NASDAQ National Market
17500.0	44047.0	NASDAQ National Market
7500.0	28688.0	NASDAQ National Market
17500.0	59497.0	NASDAQ National Market
112500.0	54105.0	NASDAQ National Market
12003.0	9745.0	NASDAQ National Market
51179.0	57516.0	NASDAQ National Market
22438.0	69900.0	NASDAQ National Market
5536000.0	7553380.0	New York Stock Exchange (NYSE)
142590.0	354532.0	New York Stock Exchange (NYSE)
306125.0	1078900.0	New York Stock Exchange (NYSE)
20030.0	18685.0	NASDAQ National Market
0.0	62632.0	NASDAQ National Market
566065.0	2542187.0	New York Stock Exchange (NYSE)
2708.0	24282.0	NASDAQ National Market
